cluster_id,application_id,app_number,start_time,end_time
1448006111297,1448006111297_0138,0138,2016-04-07 11:40:03,2016-04-07 12:15:53
1460011102909,1460011102909_0176,0176,2016-07-26 12:00:26,2016-07-26 12:14:31
1472621869829,1472621869829_0087,0087,2016-09-09 08:04:46,2016-09-09 08:05:19
1485248649253,1485248649253_0001,0001,2017-01-24 17:08:50,2017-01-24 17:09:03
1485248649253,1485248649253_0003,0003,2017-02-09 19:56:41,2017-02-09 19:56:53
1485248649253,1485248649253_0004,0004,2017-02-09 19:59:02,2017-02-09 19:59:13
1485248649253,1485248649253_0006,0006,2017-02-09 20:38:39,2017-02-09 20:38:49
1485248649253,1485248649253_0007,0007,2017-03-14 21:05:08,2017-03-14 21:05:54
1485248649253,1485248649253_0008,0008,2017-03-14 21:11:37,2017-03-14 21:12:33
1485248649253,1485248649253_0009,0009,2017-03-14 21:08:21,2017-03-14 21:09:05
1485248649253,1485248649253_0010,0010,2017-03-14 21:11:12,2017-03-14 21:11:59
1485248649253,1485248649253_0011,0011,2017-03-14 21:18:15,2017-03-14 21:18:58
1485248649253,1485248649253_0012,0012,2017-03-14 21:23:59,2017-03-14 21:24:46
1485248649253,1485248649253_0014,0014,2017-03-14 21:30:36,2017-03-14 21:31:23
1485248649253,1485248649253_0015,0015,2017-03-14 21:25:07,2017-03-14 21:25:49
1485248649253,1485248649253_0018,0018,2017-03-14 21:39:26,2017-03-14 21:40:13
1485248649253,1485248649253_0019,0019,2017-03-14 21:42:14,2017-03-14 21:43:10
1485248649253,1485248649253_0022,0022,2017-03-14 22:01:31,2017-03-14 22:02:13
1485248649253,1485248649253_0023,0023,2017-03-14 22:07:17,2017-03-14 22:22:09
1485248649253,1485248649253_0024,0024,2017-03-14 22:16:41,2017-03-14 22:28:07
1485248649253,1485248649253_0027,0027,2017-03-16 17:04:51,2017-03-16 17:12:57
1485248649253,1485248649253_0029,0029,2017-03-16 17:15:50,2017-03-16 17:27:56
1485248649253,1485248649253_0031,0031,2017-03-21 00:23:10,2017-03-21 00:23:21
1485248649253,1485248649253_0033,0033,2017-03-21 00:20:59,2017-03-21 00:32:24
1485248649253,1485248649253_0035,0035,2017-03-21 09:41:22,2017-03-21 09:58:04
1485248649253,1485248649253_0036,0036,2017-03-21 11:38:02,2017-03-21 11:56:41
1485248649253,1485248649253_0037,0037,2017-03-23 14:01:49,2017-03-23 14:14:52
1485248649253,1485248649253_0038,0038,2017-03-23 14:35:29,2017-03-23 14:53:00
1485248649253,1485248649253_0039,0039,2017-03-23 14:47:04,2017-03-23 15:04:51
1485248649253,1485248649253_0040,0040,2017-03-23 15:51:07,2017-03-23 15:51:18
1485248649253,1485248649253_0041,0041,2017-03-23 15:57:02,2017-03-23 16:11:00
1485248649253,1485248649253_0042,0042,2017-03-27 14:35:09,2017-03-27 14:54:22
1485248649253,1485248649253_0043,0043,2017-03-27 19:38:33,2017-03-27 19:54:36
1485248649253,1485248649253_0047,0047,2017-03-28 15:10:33,2017-03-28 15:24:27
1485248649253,1485248649253_0048,0048,2017-03-28 15:41:06,2017-03-28 15:54:52
1485248649253,1485248649253_0049,0049,2017-03-28 17:08:39,2017-03-28 17:21:29
1485248649253,1485248649253_0050,0050,2017-03-28 18:00:09,2017-03-28 18:18:47
1485248649253,1485248649253_0051,0051,2017-03-29 10:08:37,2017-03-29 10:10:19
1485248649253,1485248649253_0052,0052,2017-03-29 10:04:41,2017-03-29 10:05:18
1485248649253,1485248649253_0054,0054,2017-03-29 17:14:19,2017-03-29 17:25:36
1485248649253,1485248649253_0056,0056,2017-03-29 19:21:17,2017-03-29 19:42:12
1485248649253,1485248649253_0057,0057,2017-03-29 21:13:45,2017-03-29 21:29:46
1485248649253,1485248649253_0058,0058,2017-03-29 21:43:07,2017-03-29 23:13:07
1485248649253,1485248649253_0059,0059,2017-03-29 23:05:56,2017-03-29 23:52:24
1485248649253,1485248649253_0060,0060,2017-03-29 23:15:53,2017-03-30 00:08:16
1485248649253,1485248649253_0063,0063,2017-04-13 18:45:36,2017-04-13 22:01:39
1485248649253,1485248649253_0064,0064,2017-04-13 19:54:03,2017-04-13 20:23:27
1485248649253,1485248649253_0067,0067,2017-04-13 20:57:15,2017-04-13 21:30:36
1485248649253,1485248649253_0068,0068,2017-04-13 21:26:31,2017-04-13 23:16:59
1485248649253,1485248649253_0070,0070,2017-04-13 22:05:05,2017-04-13 22:42:51
1485248649253,1485248649253_0071,0071,2017-04-13 22:50:46,2017-04-13 23:54:49
1485248649253,1485248649253_0072,0072,2017-04-20 13:49:25,2017-04-20 14:32:58
1485248649253,1485248649253_0073,0073,2017-04-25 18:18:48,2017-04-25 20:46:46
1485248649253,1485248649253_0074,0074,2017-05-02 12:38:46,2017-05-02 14:16:03
1485248649253,1485248649253_0075,0075,2017-05-08 08:36:49,2017-05-08 09:31:50
1485248649253,1485248649253_0076,0076,2017-05-08 09:49:41,2017-05-08 11:29:55
1485248649253,1485248649253_0078,0078,2017-06-06 21:08:17,2017-06-06 21:08:28
1485248649253,1485248649253_0080,0080,2017-06-06 21:09:38,2017-06-06 21:09:51
1485248649253,1485248649253_0082,0082,2017-06-06 21:13:09,2017-06-06 21:13:22
1485248649253,1485248649253_0083,0083,2017-06-06 21:10:40,2017-06-06 21:10:52
1485248649253,1485248649253_0084,0084,2017-06-06 21:11:01,2017-06-06 21:11:13
1485248649253,1485248649253_0085,0085,2017-06-06 21:18:20,2017-06-06 21:18:32
1485248649253,1485248649253_0088,0088,2017-06-06 21:21:26,2017-06-06 21:21:37
1485248649253,1485248649253_0089,0089,2017-06-06 21:28:25,2017-06-06 21:32:13
1485248649253,1485248649253_0090,0090,2017-06-06 21:38:25,2017-06-06 21:39:47
1485248649253,1485248649253_0091,0091,2017-06-06 21:38:58,2017-06-06 21:40:19
1485248649253,1485248649253_0092,0092,2017-06-06 21:59:02,2017-06-06 22:00:35
1485248649253,1485248649253_0093,0093,2017-06-06 22:04:56,2017-06-06 22:06:31
1485248649253,1485248649253_0096,0096,2017-06-06 22:29:05,2017-06-06 22:30:46
1485248649253,1485248649253_0097,0097,2017-06-07 15:12:34,2017-06-07 15:14:54
1485248649253,1485248649253_0098,0098,2017-06-07 15:26:32,2017-06-07 15:28:24
1485248649253,1485248649253_0099,0099,2017-06-07 15:38:16,2017-06-07 15:41:19
1485248649253,1485248649253_0100,0100,2017-06-07 15:58:34,2017-06-07 16:01:59
1485248649253,1485248649253_0101,0101,2017-06-07 16:22:44,2017-06-07 16:23:35
1485248649253,1485248649253_0103,0103,2017-06-07 16:34:29,2017-06-07 16:35:59
1485248649253,1485248649253_0104,0104,2017-06-07 16:43:47,2017-06-07 16:45:20
1485248649253,1485248649253_0105,0105,2017-06-07 16:59:25,2017-06-07 17:01:01
1485248649253,1485248649253_0106,0106,2017-06-07 16:58:51,2017-06-07 17:01:04
1485248649253,1485248649253_0107,0107,2017-06-07 17:14:10,2017-06-07 17:16:25
1485248649253,1485248649253_0108,0108,2017-06-08 09:56:39,2017-06-08 10:01:02
1485248649253,1485248649253_0109,0109,2017-06-08 09:59:52,2017-06-08 10:04:23
1485248649253,1485248649253_0111,0111,2017-06-08 10:33:58,2017-06-08 10:44:44
1485248649253,1485248649253_0114,0114,2017-06-08 11:01:10,2017-06-08 11:01:17
1485248649253,1485248649253_0115,0115,2017-06-08 11:07:17,2017-06-08 11:09:28
1485248649253,1485248649253_0116,0116,2017-06-08 11:13:21,2017-06-08 11:15:33
1485248649253,1485248649253_0117,0117,2017-06-08 11:26:48,2017-06-08 11:39:25
1485248649253,1485248649253_0118,0118,2017-06-08 11:59:45,2017-06-08 12:01:59
1485248649253,1485248649253_0119,0119,2017-06-08 12:01:37,2017-06-08 12:04:08
1485248649253,1485248649253_0120,0120,2017-06-08 12:11:27,2017-06-08 12:23:32
